==12389== NVPROF is profiling process 12389, command: python resnet.py resnet152
==12389== Profiling application: python resnet.py resnet152
==12389== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,KB,B,MB,GB/s,,,,
5.688517,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.688529,0.000896,,,,,,,,,,0.000488,0.532184,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.688541,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.688594,0.042400,,,,,,,,,,0.250000,5.758034,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.688644,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.688656,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.688669,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.688681,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.688738,0.042400,,,,,,,,,,0.250000,5.758034,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.688788,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.688800,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.688812,0.000896,,,,,,,,,,0.000488,0.532184,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.688824,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.689236,0.092736,,,,,,,,,,0.562500,5.923443,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.689336,0.001088,,,,,,,,,,0.000488,0.438269,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.689364,0.001792,,,,,,,,,,0.000488,0.266092,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.689375,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.689388,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.689441,0.042368,,,,,,,,,,0.250000,5.762383,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.689490,0.001152,,,,,,,,,,0.001953,1.655685,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
